,path,filename,movie-name,year-of-release,size,trailer,movie
86,/home/mayank/Desktop/gender-bias-detection/official-trailers/2011-shakal_pe_mat_ja/2011-shakal_pe_mat_ja.mp4,2011-shakal_pe_mat_ja.mp4,shakal_pe_mat_ja,2011,9162269,1,0
87,/home/mayank/Desktop/gender-bias-detection/official-trailers/2009-99/2009-99.mp4,2009-99.mp4,99,2009,8785953,1,0
88,/home/mayank/Desktop/gender-bias-detection/official-trailers/2014-neighbours:_they_are_vampires/2014-neighbours:_they_are_vampires.mp4,2014-neighbours:_they_are_vampires.mp4,neighbours:_they_are_vampires,2014,121267938,0,1
89,/home/mayank/Desktop/gender-bias-detection/official-trailers/2016-fan/2016-fan.mp4,2016-fan.mp4,fan,2016,11699267,1,0
90,/home/mayank/Desktop/gender-bias-detection/official-trailers/2010-khichdi:_the_movie/2010-khichdi:_the_movie.mp4,2010-khichdi:_the_movie.mp4,khichdi:_the_movie,2010,531329582,0,1
91,/home/mayank/Desktop/gender-bias-detection/official-trailers/2010-na_ghar_ke_na_ghaat_ke/2010-na_ghar_ke_na_ghaat_ke.mp4,2010-na_ghar_ke_na_ghaat_ke.mp4,na_ghar_ke_na_ghaat_ke,2010,426949243,0,1
92,/home/mayank/Desktop/gender-bias-detection/official-trailers/2009-all_the_best:_fun_begins/2009-all_the_best:_fun_begins.mp4,2009-all_the_best:_fun_begins.mp4,all_the_best:_fun_begins,2009,8455826,1,0
93,/home/mayank/Desktop/gender-bias-detection/official-trailers/2017-jagga_jasoos/2017-jagga_jasoos.mp4,2017-jagga_jasoos.mp4,jagga_jasoos,2017,10977469,1,0
94,/home/mayank/Desktop/gender-bias-detection/official-trailers/2009-luck/2009-luck.mp4,2009-luck.mp4,luck,2009,12357694,1,0
95,/home/mayank/Desktop/gender-bias-detection/official-trailers/2014-hawaa_hawaai/2014-hawaa_hawaai.mp4,2014-hawaa_hawaai.mp4,hawaa_hawaai,2014,10385593,1,0
96,/home/mayank/Desktop/gender-bias-detection/official-trailers/2015-dil_dhadakne_do/2015-dil_dhadakne_do.mp4,2015-dil_dhadakne_do.mp4,dil_dhadakne_do,2015,10482688,1,0
97,/home/mayank/Desktop/gender-bias-detection/official-trailers/2017-raag_desh:_birth_of_a_nation/2017-raag_desh:_birth_of_a_nation.mp4,2017-raag_desh:_birth_of_a_nation.mp4,raag_desh:_birth_of_a_nation,2017,11168157,1,0
98,/home/mayank/Desktop/gender-bias-detection/official-trailers/2009-raaz_-_the_mystery_continues/2009-raaz_-_the_mystery_continues.mp4,2009-raaz_-_the_mystery_continues.mp4,raaz_,2009,764041175,0,1
99,/home/mayank/Desktop/gender-bias-detection/official-trailers/2008-wafaa/2008-wafaa.mp4,2008-wafaa.mp4,wafaa,2008,434750183,0,1
100,/home/mayank/Desktop/gender-bias-detection/official-trailers/2015-hamari_adhuri_kahani/2015-hamari_adhuri_kahani.mp4,2015-hamari_adhuri_kahani.mp4,hamari_adhuri_kahani,2015,11100777,1,0
101,/home/mayank/Desktop/gender-bias-detection/official-trailers/2014-lingaa/2014-lingaa.mp4,2014-lingaa.mp4,lingaa,2014,10941638,1,0
102,/home/mayank/Desktop/gender-bias-detection/official-trailers/2013-yamla_pagla_deewana_2/2013-yamla_pagla_deewana_2.mp4,2013-yamla_pagla_deewana_2.mp4,yamla_pagla_deewana_2,2013,15405681,1,0
103,/home/mayank/Desktop/gender-bias-detection/official-trailers/2012-kahaani/2012-kahaani.mp4,2012-kahaani.mp4,kahaani,2012,7019739,1,0
104,/home/mayank/Desktop/gender-bias-detection/official-trailers/2009-toss/2009-toss.mp4,2009-toss.mp4,toss,2009,66615332,0,1
105,/home/mayank/Desktop/gender-bias-detection/official-trailers/2014-bewakoofiyaan/2014-bewakoofiyaan.mp4,2014-bewakoofiyaan.mp4,bewakoofiyaan,2014,10920397,1,0
106,/home/mayank/Desktop/gender-bias-detection/official-trailers/2011-stanley_ka_dabba/2011-stanley_ka_dabba.mp4,2011-stanley_ka_dabba.mp4,stanley_ka_dabba,2011,8257685,1,0
107,/home/mayank/Desktop/gender-bias-detection/official-trailers/2008-de_taali/2008-de_taali.mp4,2008-de_taali.mp4,de_taali,2008,521350224,0,1
108,/home/mayank/Desktop/gender-bias-detection/official-trailers/2011-shor_in_the_city/2011-shor_in_the_city.mp4,2011-shor_in_the_city.mp4,shor_in_the_city,2011,11164649,1,0
109,/home/mayank/Desktop/gender-bias-detection/official-trailers/2016-luv_u_alia/2016-luv_u_alia.mp4,2016-luv_u_alia.mp4,luv_u_alia,2016,8781970,1,0
110,/home/mayank/Desktop/gender-bias-detection/official-trailers/2013-gori_tere_pyaar_mein/2013-gori_tere_pyaar_mein.mp4,2013-gori_tere_pyaar_mein.mp4,gori_tere_pyaar_mein,2013,12346570,1,0
111,/home/mayank/Desktop/gender-bias-detection/official-trailers/2013-dehraadumm_diary/2013-dehraadumm_diary.mp4,2013-dehraadumm_diary.mp4,dehraadumm_diary,2013,12867033,1,0
112,/home/mayank/Desktop/gender-bias-detection/official-trailers/2017-jolly_llb_2/2017-jolly_llb_2.mp4,2017-jolly_llb_2.mp4,jolly_llb_2,2017,9099734,1,0
113,/home/mayank/Desktop/gender-bias-detection/official-trailers/2017-patel_ki_punjabi_shaadi/2017-patel_ki_punjabi_shaadi.mp4,2017-patel_ki_punjabi_shaadi.mp4,patel_ki_punjabi_shaadi,2017,14196212,1,0
114,/home/mayank/Desktop/gender-bias-detection/official-trailers/2012-chhodo_kal_ki_baatein/2012-chhodo_kal_ki_baatein.mp4,2012-chhodo_kal_ki_baatein.mp4,chhodo_kal_ki_baatein,2012,8504827,1,0
115,/home/mayank/Desktop/gender-bias-detection/official-trailers/2009-quick_gun_murugun/2009-quick_gun_murugun.mp4,2009-quick_gun_murugun.mp4,quick_gun_murugun,2009,6984581,1,0
116,/home/mayank/Desktop/gender-bias-detection/official-trailers/2014-station:_the_flim/2014-station:_the_flim.mp4,2014-station:_the_flim.mp4,station:_the_flim,2014,2955991,1,0
117,/home/mayank/Desktop/gender-bias-detection/official-trailers/2016-freaky_ali/2016-freaky_ali.mp4,2016-freaky_ali.mp4,freaky_ali,2016,11738684,1,0
118,/home/mayank/Desktop/gender-bias-detection/official-trailers/2017-chauhar/2017-chauhar.mp4,2017-chauhar.mp4,chauhar,2017,13487420,1,0
119,/home/mayank/Desktop/gender-bias-detection/official-trailers/2017-poorna:_courage_has_no_limit/2017-poorna:_courage_has_no_limit.mp4,2017-poorna:_courage_has_no_limit.mp4,poorna:_courage_has_no_limit,2017,8587200,1,0
120,/home/mayank/Desktop/gender-bias-detection/official-trailers/2017-mukti_bhawan/2017-mukti_bhawan.mp4,2017-mukti_bhawan.mp4,mukti_bhawan,2017,6721314,1,0
121,/home/mayank/Desktop/gender-bias-detection/official-trailers/2010-thanks_maa/2010-thanks_maa.mp4,2010-thanks_maa.mp4,thanks_maa,2010,422504424,0,1
122,/home/mayank/Desktop/gender-bias-detection/official-trailers/2017-meri_pyaari_bindu/2017-meri_pyaari_bindu.mp4,2017-meri_pyaari_bindu.mp4,meri_pyaari_bindu,2017,7101401,1,0
123,/home/mayank/Desktop/gender-bias-detection/official-trailers/2015-the_silent_heroes/2015-the_silent_heroes.mp4,2015-the_silent_heroes.mp4,the_silent_heroes,2015,7657540,1,0
124,/home/mayank/Desktop/gender-bias-detection/official-trailers/2009-de_dana_dan/2009-de_dana_dan.mp4,2009-de_dana_dan.mp4,de_dana_dan,2009,8427895,1,0
125,/home/mayank/Desktop/gender-bias-detection/official-trailers/2015-pyaar_ka_punchname_2/2015-pyaar_ka_punchname_2.mp4,2015-pyaar_ka_punchname_2.mp4,pyaar_ka_punchname_2,2015,12740175,1,0
126,/home/mayank/Desktop/gender-bias-detection/official-trailers/2014-action_jackson/2014-action_jackson.mp4,2014-action_jackson.mp4,action_jackson,2014,15967763,1,0
127,/home/mayank/Desktop/gender-bias-detection/official-trailers/2013-prague/2013-prague.mp4,2013-prague.mp4,prague,2013,8000968,1,0
128,/home/mayank/Desktop/gender-bias-detection/official-trailers/2012-blood_money/2012-blood_money.mp4,2012-blood_money.mp4,blood_money,2012,7883685,1,0
129,/home/mayank/Desktop/gender-bias-detection/official-trailers/2016-neerja/2016-neerja.mp4,2016-neerja.mp4,neerja,2016,9060477,1,0
130,/home/mayank/Desktop/gender-bias-detection/official-trailers/2017-commando_2/2017-commando_2.mp4,2017-commando_2.mp4,commando_2,2017,12748676,1,0
131,/home/mayank/Desktop/gender-bias-detection/official-trailers/2010-rokkk/2010-rokkk.mp4,2010-rokkk.mp4,rokkk,2010,9402508,1,0
132,/home/mayank/Desktop/gender-bias-detection/official-trailers/2016-befikre/2016-befikre.mp4,2016-befikre.mp4,befikre,2016,11916437,1,0
133,/home/mayank/Desktop/gender-bias-detection/official-trailers/2016-saat_uchakkey/2016-saat_uchakkey.mp4,2016-saat_uchakkey.mp4,saat_uchakkey,2016,10859619,1,0
134,/home/mayank/Desktop/gender-bias-detection/official-trailers/2013-bandook/2013-bandook.mp4,2013-bandook.mp4,bandook,2013,11432788,1,0
135,/home/mayank/Desktop/gender-bias-detection/official-trailers/2009-what's_your_rashee?/2009-what's_your_rashee?.mp4,2009-what's_your_rashee?.mp4,what's_your_rashee?,2009,1683062,1,0
136,/home/mayank/Desktop/gender-bias-detection/official-trailers/2008-chamku/2008-chamku.mp4,2008-chamku.mp4,chamku,2008,421735061,0,1
137,/home/mayank/Desktop/gender-bias-detection/official-trailers/2009-do_knot_disturb/2009-do_knot_disturb.mp4,2009-do_knot_disturb.mp4,do_knot_disturb,2009,505865796,0,1
138,/home/mayank/Desktop/gender-bias-detection/official-trailers/2011-yeh_dooriyan/2011-yeh_dooriyan.mp4,2011-yeh_dooriyan.mp4,yeh_dooriyan,2011,6984231,1,0
139,/home/mayank/Desktop/gender-bias-detection/official-trailers/2010-guzaarish/2010-guzaarish.mp4,2010-guzaarish.mp4,guzaarish,2010,6267991,1,0
140,/home/mayank/Desktop/gender-bias-detection/official-trailers/2008-rock_on!!/2008-rock_on!!.mp4,2008-rock_on!!.mp4,rock_on!!,2008,8488371,1,0
141,/home/mayank/Desktop/gender-bias-detection/official-trailers/2012-khiladi_786/2012-khiladi_786.mp4,2012-khiladi_786.mp4,khiladi_786,2012,14084285,1,0
142,/home/mayank/Desktop/gender-bias-detection/official-trailers/2016-moh_maya_money/2016-moh_maya_money.mp4,2016-moh_maya_money.mp4,moh_maya_money,2016,5242133,1,0
143,/home/mayank/Desktop/gender-bias-detection/official-trailers/2012-valentine's_night/2012-valentine's_night.mp4,2012-valentine's_night.mp4,valentine's_night,2012,6336223,1,0
144,/home/mayank/Desktop/gender-bias-detection/official-trailers/2012-challo_driver/2012-challo_driver.mp4,2012-challo_driver.mp4,challo_driver,2012,286443480,0,1
145,/home/mayank/Desktop/gender-bias-detection/official-trailers/2015-rahasya/2015-rahasya.mp4,2015-rahasya.mp4,rahasya,2015,7159296,1,0
146,/home/mayank/Desktop/gender-bias-detection/official-trailers/2016-saansein/2016-saansein.mp4,2016-saansein.mp4,saansein,2016,10653754,1,0
147,/home/mayank/Desktop/gender-bias-detection/official-trailers/2010-badmaash_company/2010-badmaash_company.mp4,2010-badmaash_company.mp4,badmaash_company,2010,12684556,1,0
148,/home/mayank/Desktop/gender-bias-detection/official-trailers/2017-mantostaan/2017-mantostaan.mp4,2017-mantostaan.mp4,mantostaan,2017,9338531,1,0
149,/home/mayank/Desktop/gender-bias-detection/official-trailers/2015-international_hero/2015-international_hero.mp4,2015-international_hero.mp4,international_hero,2015,7454954,1,0
150,/home/mayank/Desktop/gender-bias-detection/official-trailers/2015-dum_laga_ke_haisha/2015-dum_laga_ke_haisha.mp4,2015-dum_laga_ke_haisha.mp4,dum_laga_ke_haisha,2015,10893375,1,0
151,/home/mayank/Desktop/gender-bias-detection/official-trailers/2016-mohenjo_daro/2016-mohenjo_daro.mp4,2016-mohenjo_daro.mp4,mohenjo_daro,2016,16231976,1,0
152,/home/mayank/Desktop/gender-bias-detection/official-trailers/2010-phas_gaye_re_obama/2010-phas_gaye_re_obama.mp4,2010-phas_gaye_re_obama.mp4,phas_gaye_re_obama,2010,400573819,0,1
153,/home/mayank/Desktop/gender-bias-detection/official-trailers/2016-phobia/2016-phobia.mp4,2016-phobia.mp4,phobia,2016,5112825,1,0
