,frame_number,gender,emotion,year,movie_name
263,126,man,fear,2015,second_half_husband
264,126,man,angry,2015,second_half_husband
265,95,man,angry,2015,second_half_husband
266,99,man,happy,2015,second_half_husband
267,97,man,fear,2015,second_half_husband
268,34,man,happy,2015,second_half_husband
271,22,man,fear,2015,second_half_husband
273,130,woman,sad,2015,second_half_husband
274,72,man,sad,2015,second_half_husband
275,79,man,sad,2015,second_half_husband
276,75,man,angry,2015,second_half_husband
277,18,man,angry,2015,second_half_husband
278,80,man,happy,2015,second_half_husband
279,51,man,happy,2008,mumbai_meri_jaan
280,98,man,sad,2008,mumbai_meri_jaan
282,147,man,sad,2008,mumbai_meri_jaan
283,128,man,sad,2008,mumbai_meri_jaan
284,108,man,surprise,2008,mumbai_meri_jaan
285,107,woman,sad,2008,mumbai_meri_jaan
286,106,man,sad,2008,mumbai_meri_jaan
288,121,man,fear,2008,mumbai_meri_jaan
289,53,woman,happy,2008,mumbai_meri_jaan
290,110,man,sad,2008,mumbai_meri_jaan
291,129,woman,sad,2008,mumbai_meri_jaan
292,151,man,fear,2008,mumbai_meri_jaan
293,83,woman,sad,2008,mumbai_meri_jaan
294,144,woman,fear,2008,mumbai_meri_jaan
295,144,man,sad,2008,mumbai_meri_jaan
296,134,woman,sad,2008,mumbai_meri_jaan
297,50,woman,happy,2008,mumbai_meri_jaan
299,130,woman,happy,2008,mumbai_meri_jaan
300,93,man,sad,2013,super_model
302,60,woman,sad,2013,super_model
303,36,man,angry,2013,super_model
305,63,man,happy,2013,super_model
309,92,man,angry,2013,super_model
311,37,man,angry,2013,super_model
314,46,man,angry,2013,super_model
315,65,man,happy,2013,super_model
318,127,man,disgust,2013,super_model
319,47,man,angry,2013,super_model
320,48,woman,happy,2013,super_model
321,114,man,angry,2013,super_model
322,64,woman,happy,2013,super_model
323,64,man,happy,2013,super_model
324,64,man,happy,2013,super_model
325,130,man,sad,2013,super_model
326,75,man,sad,2013,super_model
327,51,man,sad,2013,listen_amaya
328,60,man,sad,2013,listen_amaya
329,58,man,happy,2013,listen_amaya
330,44,man,angry,2013,listen_amaya
331,11,woman,happy,2013,listen_amaya
332,20,man,happy,2013,listen_amaya
333,30,man,sad,2013,listen_amaya
334,55,man,happy,2013,listen_amaya
335,35,man,angry,2013,listen_amaya
336,53,man,sad,2013,listen_amaya
337,63,woman,fear,2013,listen_amaya
338,49,man,sad,2013,listen_amaya
339,67,man,angry,2013,listen_amaya
340,54,man,sad,2013,listen_amaya
343,74,man,angry,2013,listen_amaya
344,29,man,sad,2013,listen_amaya
345,37,man,sad,2013,listen_amaya
346,37,man,sad,2013,listen_amaya
347,77,woman,sad,2013,listen_amaya
348,82,woman,fear,2013,listen_amaya
350,46,man,sad,2013,listen_amaya
352,41,man,fear,2013,listen_amaya
353,81,woman,angry,2013,listen_amaya
354,50,man,sad,2013,listen_amaya
355,9,woman,sad,2013,listen_amaya
356,47,man,fear,2013,listen_amaya
357,78,woman,sad,2013,listen_amaya
358,34,man,fear,2013,listen_amaya
359,21,woman,happy,2013,listen_amaya
360,73,man,happy,2013,listen_amaya
361,79,man,sad,2013,listen_amaya
362,18,man,surprise,2013,listen_amaya
363,25,man,fear,2013,listen_amaya
364,80,woman,happy,2013,listen_amaya
366,28,man,angry,2016,ki_&_ka
367,118,man,happy,2016,ki_&_ka
368,44,man,sad,2016,ki_&_ka
370,11,man,sad,2016,ki_&_ka
371,20,woman,fear,2016,ki_&_ka
372,71,man,sad,2016,ki_&_ka
373,15,woman,fear,2016,ki_&_ka
376,45,man,sad,2016,ki_&_ka
382,77,woman,happy,2016,ki_&_ka
383,77,woman,happy,2016,ki_&_ka
384,27,man,happy,2016,ki_&_ka
386,46,woman,happy,2016,ki_&_ka
387,17,woman,happy,2016,ki_&_ka
389,113,woman,happy,2016,ki_&_ka
391,100,woman,fear,2016,ki_&_ka
392,47,woman,sad,2016,ki_&_ka
393,48,man,sad,2016,ki_&_ka
394,115,man,happy,2016,ki_&_ka
